,good,bad,random,FIRE,TRAVOS,SUBJECTIVE,YUSINGH,FUZZY
0,4.830303030302987,-385.75667655786356,-679.9032258064517,492.10476190476186,-262.7083333333333,151.83030303030304,403.4088888888889,807.6358024691358
1,387.59863945578235,-736.3184079601989,-91.49333333333335,199.70063694267515,-526.8425925925926,459.655737704918,259.79432624113474,366.58908045977006
2,492.71333333333337,-530.2530253025303,-349.1488095238096,259.95670995671,-716.2578616352203,225.76767676767673,0.7751937984496053,494.9299719887955
3,-385.46258503401356,-492.06349206349205,-47.71584699453551,218.04040404040404,-795.18,554.0045662100456,236.57575757575756,556.7743055555555
4,-789.7517730496453,-493.5897435897437,-485.11794871794876,378.6081871345029,38.217948717948694,92.55707762557077,314.13483146067415,148.16975308641977
5,-1008.9210526315787,-623.1060606060605,-197.15981735159818,312.49134199134204,-285.86885245901635,161.7401960784314,-63.1333333333333,408.8941798941799
6,302.062015503876,-481.60535117056855,-746.6618357487923,123.46825396825398,321.09770114942523,251.3551912568306,291.83333333333337,541.7971014492754
7,-349.5470085470085,-607.0921985815603,-432.8531073446328,342.6424242424242,-578.8930817610062,-7.180790960451967,238.7248677248677,467.4542124542124
8,-299.71428571428584,-556.7251461988304,-382.47849462365593,324.6607142857143,175.73333333333332,466.52830188679246,183.327868852459,253.98214285714286
9,-206.00709219858155,-481.73515981735164,-379.344262295082,482.5689655172414,149.7636363636364,60.333333333333336,484.62820512820514,606.2698412698412
10,-93.33918128654975,-465.3739612188365,-299.8805970149254,407.79288025889974,732.15,66.39826839826844,258.7604166666667,250.1829268292683
11,-388.0266666666667,-581.081081081081,-474.21256038647346,279.1091445427728,-960.05,157.7987421383648,300.40555555555545,255.32857142857142
12,273.188679245283,-722.3672758920801,-106.74137931034483,210.431884057971,-24.768707482993186,189.59322033898306,286.79096045197736,406.4366197183099
13,-272.8266666666666,-561.5292712066905,-560.6923076923077,-10.851515151515137,-111.58479532163739,163.1921568627451,-66.49726775956282,663.9480519480519
14,-473.24822695035465,-566.1764705882352,-392.2222222222222,107.25948103792415,-285.6502732240437,-44.050387596899235,320.6203703703704,413.36178861788625
15,5.713178294573587,-477.50865051903116,-397.3121693121693,481.03061224489795,-347.46913580246917,-45.71839080459769,-19.160714285714317,722.9278350515464
16,-176.82,-517.8571428571428,-330.8148148148148,149.3925925925926,-506.55555555555543,356.49047619047616,234.52156862745096,129.17045454545453
17,-184.00724637681165,-569.1609977324264,-733.9824561403509,328.98591549295776,506.025,482.78911564625855,54.195121951219534,344.0583333333333
18,-919.5079365079364,-500.0,-254.4507575757576,491.88771929824554,64.99358974358977,482.57692307692315,182.7962962962963,264.1128608923884
19,-151.7555555555556,-517.0603674540682,-662.7107843137254,343.8709677419355,281.8154761904762,-90.39906103286383,267.3333333333333,-76.57894736842105
20,-911.5999999999999,-459.84598459845995,-79.34502923976608,408.09641873278235,363.2701149425287,117.00584795321639,383.6752136752136,330.2421052631579
21,-668.0496453900709,-516.6666666666666,-479.3163841807909,283.74202898550726,-696.2156862745096,-284.99583333333334,299.31400966183577,1378.3548387096773
22,33.95597484276728,-483.49307774227896,-582.0277777777778,95.85432098765432,732.0434782608696,632.2083333333333,35.53819444444446,469.20388349514565
23,-203.76870748299322,-579.5206971677559,-172.39393939393938,211.40277777777777,50.442424242424224,-172.25396825396822,277.00653594771245,138.96969696969697
24,-478.88636363636346,-536.9807497467071,-406.19642857142856,440.4746666666667,143.43262411347516,-164.64779874213838,120.49629629629631,246.2450980392157
25,293.05649717514126,-575.48125633232,-424.7135416666667,403.4230769230769,5.573333333333357,352.44666666666666,-411.18143459915615,389.8875
26,-481.687074829932,-591.4634146341464,-186.26315789473685,623.7575757575759,74.34545454545457,63.16666666666664,394.9444444444444,107.31391585760517
27,-682.5555555555555,-535.7873210633946,-174.95169082125605,132.87313432835822,-651.7777777777777,238.67489711934152,261.2009803921569,352.18039215686275
28,-643.26,-411.6959064327486,-206.20312499999994,715.2293906810037,-330.0,51.83660130718953,362.87692307692305,609.4328358208955
29,-737.0628930817609,-486.38497652582157,-320.7345679012345,372.0642201834862,-926.0544217687076,414.81182795698925,-102.98275862068965,388.840108401084
